Title	Review
Season 7, And The Infinity Blade.	I very distinctively noticed the infinity blade in the Sargent ice or whatever’s hand in the trailer. I’ve been with Epic since infinity Blade 1. I love the boss btw. Nice job. BUT, my real question is why was the infinity Blade featured in Fortnite? If your idea is to bring in some melee weapons, I agree with you, but I strongly suggest and recommend you stray away from bringing the Infinity Blade in. maybe as an LTM mode this might work, kind of like the thanos mode, but I highly suggest you keep away from the idea of having such a melee added into fortnite. (just to prove I played infinity blade, the damage of the infinity blade in the first game was 200.
It is the greatest app I ever played	This is the greatest app I ever played
Obnoxious ads	Cool game but the obnoxious, so not an understatement, is having me delete it. They have annoyed me to the point that handing over money to the developer to remove them isn’t even something I’d consider. If you want people to pay to remove ads, making them hate your product because of the insane amount of ads everywhere isn’t the way to do it. It’s a shame because the game itself is quite good. I’ve made a note not to download any other apps from this developer.
Don’t work	Plz make it work on iPhone 6 if possible. I like the game and want to play with my friends when I don’t have my console so please please make it work for iPhone 6. It is the same as iPhone 6s but with slightly less ram so I don’t see how you could not fix this so that iPhone 6 could use it
Game is good but..	The game is absolutely overhauled and they ruin famous dancing to only have 5 year olds dancing in the mall and be know as that “Fortnite dance”. Game is filled with 8 year olds who rage and scream and 12 year old perverts who watch streamers and fall in “love” at first sight. Never playing it.
Creative	"This mode says your island YOUR RULES your friends but when i TRY to put in a prefab it doesn't work

If you don't repair this i will sue you!!!!!"
Can you log me in my account	Can you log me in my account please because I’m just took me off my account so my name is mellow737
Gg	Gg
I love it but I hate this sign in	Don’t get me wrong I absolutely love the game but it won’t let me sign in to my Xbox live account I put in all my information but when I’m done and click the sign in button it brings me to a create a new account screen for epic games, not even asking me to create an account it just brings me to the screen it would if I clicked make a new account, I am very frustrated and I have bought many things on my Xbox live account and I’d rather not loose them. Please fix this.
best game ever	great game but try to make lag less
Omg	Y is this game so baaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa🐑aaaaaaaaaad
Garbage	This game is laggy and to many people play it
Revert	REVERT REVERT REVERT REVERT REVERT REVERT REVERT REVERT REVERT REVERT
Soooooo bad this game is trash it doesn’t work.	TRASH THIS GAME IS SOOOOOOOOOOOO BAD I DO NO KNOW WHY IT HAS GOOD REVIEWS!
Thank you are making a good game	Thank you
Too many ads	You die? Ad. You want to continue playing? Ad. Each ad is at least 30 seconds long. Too annoying to keep playing when you get on a role.
Over 12?!	This game is cool an all, but BLOODY HELL! THIS GAME IS 12+!! THE HECK?!
Never Loads	I used to have no problems, now I can never make it into a match. I just get stuck on the loading screen. :/
Too many updates	Updates the day after update. Then proceeds to update. Once again updates for another update . Then once that was all downloaded it updates. Too many updates!
I don’t like it	It lag to bad
Too many ads!	This game is a good game, but the ads and the bots are a little out of hand. Same with the challenges; like getting 100% of the map, that’s kinda 99.999% impossible. And the ads. It’s outrageous! I hate games with that many ads, but the gameplay covers it.
DOWNLOAD NOW!!!	Great game!No complaints.You should definitely get it. Sooo surprised it is a free game!!!
Fortnite updates at 11 fort mobile	Make puma better
Fortnite a great game but could be better	Everyday there is a new update and it tak s forever to load
Fix this plz	This is a great game and everything and I like it. I played every time that I have a chance but epic can y’all fix the problem about the Cross air editing botton so we can not keep going back and forward when we edit something plz fix this epic
It is amazing	Really good app
Cheese	Cheesecake Factory was the night I was a w you want you
Hixle jump	It is being glitches
Amazing anime !	I love hunter x hunter its the best anime !
Poopoo	Poo poo
Graphics	The graphics are horrible come on and also if you want to play with other people on different platforms it doesn’t work.😡😡😡😡
CHANGE THIS	NEEDS TO SUPPORT ALL IPHONES
The game is good but..	I tried to fly with the plain, but It won’t let me so I used the boost and I didn’t work, please fix this.
Make Fortnite available on iPod touch	Please make Fortnite available on iPod touch. I have a gen 6. I honestly don’t get why it is so hard for you to do so. I am able to download it but I get a message saying it needs 2gb of memory. I have 3gb available but it still doesn’t work. I want to give it 5 stars but I can’t until you make it available on iPod touch.
Update problem	Epic it won’t let me update my fortnite on phone
Problem	I love this game and play it all the time but ever since i updated it this last time I haven’t been able to play. The ball drops through the locations and then stops and it won’t let me play
Very addicting	Love this game! Still don’t know if it’s AI, other players or a mix of them but is very simple and very fun!
Fix!	Beautiful game, just that the glitches need to be fixed..
Stop updating every week	Don’t get me wrong but I love playing Fortnite on my free time but I hate how it has to update and when it updates it takes so long then by the time isn’t done I’m busy so then I can’t play then I’ll go back to play and it will have to update again....... 🤦🏼‍♀️ I think it should update 1 time a month
Recent Update Fail:((	After recent update, the game won’t load past 28%. Don’t want to uninstall to lose the level that I achieved:( Is this an ongoing issue? #GOB
To this game	This game is just so much for it keeps me occupied when I am bored. Love this game ♥️♥️💗
This game trash	This is a bad game up the graphics EPIC GAMES (more cancer than EA)
Epic u da best but	I can’t change my email to my real one because it stops u and blocks you so u can’t change it but mobile is grrrrate
Fix game	This game is fun but it’s stupid I try to cover The Who.e map but i just die.
Mic	Its gud game but can u add u can use mic without having wifi like use data and be able to use mic
Wet wet	Thank you for making this game
Make a new event	"Your game is so fun and I just wanted to tell you my friend has been teaming with enemies 
And I want you to banned him please"
Kicking? Nah ah	As much as I love this game there’s one thing that’s annoys me.ITS THE KICKING yu guys got to stop that glitch or sum cause it’s gets really annoying and then you just want to deleted he game
Fix sniping	So I play on auto shoot when you are locked on a target it automatically shoots. Can u make the snipers auto shoot plz thx. Also Fuk You
Best game ever😊😂(beside cuphead	🥰
Controls	This game is great but the controls are twisting my fingers plz fix also I get you can customize the controls but why have it start of on the side you move you have to stop moving for it to shoot again plz fix
Great but better graphics is what I am asking.	I love the game. I have spent around 125$ on it but I wish the graphics for mobile are a little bit better. Love the game and keep it up. P.s put Silenced shotguns into the game.👍 😀👍
Great game but	It’s a 5 game but there’s one problem the mobile players need a replay mode but it’s still a good game.
Best	This is the best I can’t come off I got loads of fun out of it everyone get this game and battle me
I like Fortnite and why I can’t play Fortnite on my phone 6 😭😭😭😭😭	Can I play Fortnite plz on my phone 6 👏🏻👏🏻👏🏻😭😭😭!!!!!!!
Best game ever	I have never enjoyed a game so much!
Fortnite	Fortnite is one of my favorite games on mobile and ps4 and if anyone likes apex more than just delete fortnite.     THEY DON’T WANT FAKE PEOPLE
Best game ever	"I’m so bored. 
Then my friend told me about fortnight,it’s this fun game wear you ‘jump’ into a game 100 pvp and you fight till the last one standing.
You should try it!

JUST LOOK OUT FOR THE STREEM SNIPERS!"
Can’t Jump	I can’t Jump on Fortnite Mobile
Rhara king Jahnyah jaylen Pooty love m j	I lo
Awesome game but...	I have been having this game for quite a while and it hasn’t gave me any problems whatsoever. But just recently I played it and the lag is terrible. I don’t know if it’s just my phone or the game, but it’s to the point where I will try to play and the game freezes for over 30 seconds and I have to restart the level. I have a feeling it’s not my phone considering no other app I have does this, but I could be wrong. Please fix!!!!
Crashing.	Since the newest update it logs me out the game every time I do a match . Very aggravating indeed that I just spent money on vbucks but can’t even use my new skins.
Why does it not support a lot of phones?	It is very annoying that it does not support the iPhone 6 you can even run PUBG on an iPhone 6 and PUBG has more graphics and things
Favorite Game!	I love this game and I’m addicted to it!Even tho I’m in just level 16 I love Helix Jump!From now on this is my favorite game!🥰🥰🥰🥰
H	Good
Yes	Help I I have no Haley jump no worries I’m here download in App Store today yes.
Ads	Way too many ads
Best game ever!	This game is so fun!
Thank you.	"I’ve been playing this game for several months, I enjoy playing very much. The graphics are just pleasant and the gameplay is fun and there’s things to work towards. I’m glad that you guys aren’t giving up on a great game.
With that being said I have one complaint, the 24hr horde is very ridiculous, there’s no way to build and save materials when you wake up and your whole house is destroyed. Sure, if you’re going to spend more money to advance? That’s fine, but it takes away from the fun.
I’m not saying take the horde away, but a longer delay would be more realistic.
Keep up the great work, I hope to see more changes and improvements."
I like it but...	I really enjoy this game but I have an issue with pine grove and pine woods... when I die in those two places my body disappears and I’m not able to get my stuff back. I’m not sure if that’s part of the game but it is really annoying for me since I usually carry rare loot with me!
Fortnite is the best	Everybody that plays it is the best peek Thames you for making this game!
Buggy	I can’t even play the game
No	I hate this game it is for 6 yr olds
Is I a rain ga,	I don’t like it that much but is still good I just hate how long it takes to do the update can you do something about it
Problem	"I’m stuck in a update and it’s a real problem 😕.
It keeps on saying, “A file interruption has acurred.”

Epic please read this"
Login expired or somewhere else where	I logged on and it said my login was expired or logged in somewhere else where “epic games” more like “epic fix ur games”
Awesome game	This game is awesome but glitchy I really liked it but very glitchy also I do way better on my phone than my ps4
Annoying	It takes too long to load from game to game. We die quickly and then we wait long to get back in the game. Shorten the loading time and let us play longer. I don’t like the storm either.
V bucks	I think the developers need to start us out with 500 v bucks than the more we kill and complete challenges we get rewarded with v bucks
IM OBSESSED	Very well developed and fun game to play! I love it!
Best game ever	Amazing
Problems	Fortnite is a great game! But updates are just... a rage quitter.  Today I was gonna play with a youtuber called Jelly, but it said I needed an update. I am mobile and I was so mad, I NEVER get to play with youtubers live because I am never abilable at the stream time. Please, make mobile get updates faster if you want to at least give mobile players a chance to be equal to computer and Xbox players. Minecraft did the same thing, and right now barely anybody at my school plays Fortnite, but Brawl Stars. Now, last but not least make the players who don’t have the battle pass get a bit more stuff, or at least a skin. I have no skin, but I am not a noobie or default. I hate being called that again and again and again. I deserve a skin after winning what would had been a solo. Please fix this. From Destructorkill77
FORTNITE	Make sure ur Quality and everything is okay but you need to fix your game a bit more better
The unknown box is trash	The game is all good and stuff but the unknown box gives yo the trash stuff can you like change that bra y u going to put all the good stuff in there but give you trash stuff like BRA
TRASH	This game is such a rip off and every time that there’s a new meta they take it out or nerf it and they always make it “even” but it’s not helping
Fun	It’s very fun and the videos and ads are exactly the same.
Bugs	To many bugs every time I get in a match I lag out and that is just not fun and it wastes my screen time
Helix jump	"Dear creators,

     This app you guys made is very fun. When I’m going on a trip, I use this app so I can keep myself entertained.

Thank You!!💕💕💕❤️❤️❤️"
best game ever	Epic I love this game and add a basketball skin
Fortnite	Fortnite is amazing
LOVE IT	Love this game
Brill	This game is amazing epic games really out did them selfs they are always adding new and wacky up dates really recommend
Fun but GLITCHY!	I thought that helix jump would be as clear as the helix jump in the ads but for a no internet game it is full of glitches when I’m close to finishing a level it glitches! So please work on that that then helix jump would be perfect
I’m sad	Hello fortnite :) :) :) so I had 5 dollars on my account And then I Didint mean to but I Acsidently Got the starter pack plz refund it for me next update :) My epic is RameyTheNoodle thanks a lot if you do
Great Game!🤩🤩🤩	This game is addictive and fun I really enjoy playing this game with friends and family. This game is fantastic I hope they make a Paper i.o. 3
Just because yes	It’s the worst game ever(Opposite Day)
It’s 💩	There is way to many adds and doesn’t make sense because you cant turn quick enough you need to make it better.*Periotttttt
Sweat	In season six or seven there was siphon and people would knock their enemy and kill them just for the shield and people do that today even without Siphon The reason why a one star review is to make Minecraft be better
I want to play on iPhone 6	Why can’t we play on iPhone 6
The best game ever	All guns are amazing even pistols
BAD	Pubg is BETTER
Update now ffs	HURY UP FFS
FIX IT	Seriously it’s a great game and all but mobile is so laggy and it keeps booting me out of the game. It’s the end of the season and I need more fortbytes but it just keeps kicking so PLEASE FIX IT NOW because right now it’s a bunch of ****
Best game evvverrrrrr	Fortnite is supper fun me and my friend play fortnite all the time!!
Crashes and I lose my progress	I play games and all of a sudden the screen turns black and I lose all of my progress on challenges it’s beyond ridiculous.
Mysteriously vanishing v bucks	Beware, this app manages to lose your v-bucks which is very Much needed to master the game. I have sent multiple emails to fix problems and although they admit to a problem, they never will return v-bucks....
Fortnite battle royale	I WANT V BUCKSSS
Adds	Is a fun game but I get more adds instead of actually playing the game. I really want to play but all it is are adds.
Great! For a minute	Its awesome to be able to take this game with you wherever you go!, but when it freezes every time you load a game back up I'm quick to put it down and forget about it, just stick to consoles
Make a controller for iPhone	It’s hard
Free Continue Problem	Whenever I get to like 28% land taken over and I die and use a free continue, I lose all the land I already took over and most of the time die instantly even though someone has not taken my land yet. Please fix. Thank.
Why game is great😁	This game is so fun to play🤪 and it will take your stress away😊.but it also makes you mad sometimes😕.
No	Not Minecraft
I hate it!!!!	Diiieee!!
My favorite game	5 star game I would get it
Fortnite	Best Battle Royal out there and VERY user friendly... Thank you epic games!
Awsome game but the crashes	"Hello ima big fan of fortnite I play on mobile every time I get on the battle bus it suddenly crashes it gets annoying can you plz fix that thank you 

Best game ever"
Very good game but	Honestly why did you have to put the age for 12+ when it could of been 4+ ok
I love fortnite	This is the best game ever
Rigged pukp no save the world merge stupid season 3	Uuuu
Amazing even tho I am trash	Amazing game I like season 8 so far I am on tier 100 I have been playing since season 2i play every day
Need improvement	I love the game but it lags alot i think the app it to big i have more than enough space but it lags real bad im on the iPhone 8 no way the game should be lagging this bad other than that its good
To slow i don’t like the connection on the gam fix it please	ASAP
I'm confused!	Everything is great buuut... whenever I turn on the app it has this thing that's well... it's a level but it does half of it by itself and it looks like all these different places! And when it does the half by itself the screen freezes! Nothing but the ball! It keeps bouncing! Can someone please tell me what's going on?
#1 game since Mario brothers	This game is up there with the best games in the world!!!
Please don’t bring back original skins	Please don’t bring back original skins please don’t bring back original skins
Money hungry	I started playing this game and you got rewards every time you leveled up and now it’s like you have to pay for everything and once your gone, your things are too. It’s hard to keep up with.
It’s good	I like it
Fortnite	It’s fun
It’s great but....	This is an awesome game... But, I wish you could bring it to iphone6 because I do play on pc but I can’t when on surtain occasions
Si	Fortnite pro
THIS GAME IS SO SATISFYING TO ME!🥰😘😍	I love this game so much I don't know what to say 🤓😎
Nice and suggestions	I like it but I wish there were challenges or levels just like the first one, or paper.io.
This game is my life	When I started playing fortnite I was shocked I this game was so good 👍🏾
Better off playing PUBG...	I’m going to preface this by saying that I think Fortnite is a good game for sure, if you’re playing on console or pc that is... This experience of Fortnite on mobile, if you can even call it an experience by the time you’re done lagging, is mediocre to say the least. The frames drop insanely every time you move which makes successfully aiming and shooting quite nearly impossible, the app just randomly crashes while you’re IN A GAME, and most of the features that console and pc players have are nonexistent on here. I know that in the newest update they introduced controller support and I was SO READY to possibly be able to enjoy the game, but no. If you’re an android user, congratulations, you may use any controller of your choice to play this game on mobile. iPhone IOS users aren’t so lucky. You’ll need a special MFi (made for iPhone) controller if you want the experience as well, which can cost anywhere from $45 to $120 for one that won’t break as soon as you unpack it... not worth it just to play a mobile game that barely runs properly in the first place. There’s not even a way to see your stats and wins on this app. They just don’t exist I guess? To sum it up, maybe you should just play PUBG mobile because from MY personal experience it’s so much better by a long shot, all the way down to movement controls, FPS, and gameplay experience.
The coolest game ever	I really liked the game because it was a puzzle game so it tricked my mind a little
Less ads	Less ads and if you can’t change them up ok
Fortnight	Omg best game ever 😁😁😁😁😁😁😁😁😁😁
Game is great in all but compatibility.....	I have a pc ps4 and others though my phone is a 6 only and it needs 6S and up. I do not like the fact i have to deal with that fact i cant play on mobile.
Fortnight problem	Ok so I love fortnight so much it’s a good game and amazing but the problem is that it should take like 4 mins of o load and it’s takes to long so they should shorten it but I hive it 5 stars
It got worse	"When it first got released for phone it was great but now it takes 3 minutes to load into a game

Edit:now it crashes non stop"
Fix the game	It lags to much when every i start the game
Can you add Thanos	Add thanos plz it will be the best game ever I will tell everyone
It’s good but some issues	It keeps crashing low textured buildings auto shoots randomly also auto walks me when I don’t have the auto walk on I got a new internet,new iPad but it doesn’t help please fix these bugs.
Great	My game keeps randomly crashing. I would delete and re-download but I forgot my password. Any idea what the issue is? I have the newest version.
always logs me out	it was fun at first, but recently just keeps logging me out when im playing. seriously needs to be fixed
Take me out	It’s a really good game and I like it but when I’m in a game it keeps taking me back to my home screen
Great game	I played it the first few days and loved it. Already on level 13256.
Is ok,but one problem	THE GREATEST GSME EVER but, the drum shotgun is broke I 1v1 someone and I keep glitching cuz of it please remove the gun for further notice thank you. Also my channel is Clash with Izak and I do 6 finger claw!
Add I phone 6	So laggy I can’t stop glitching season 9 terrible I hate this game and ps add to Iphone 6
Hi	A little boring
Trash I uninstalled	This game is retarded it lags me out in the middle of the match fix the
UHHHH A GOOD GAME I LIKE	"THIS GAME IS DA BEST EVER I PLAY IT EVRY DAY BOIS DOWNLOAD IT AND YOU WILL HAVE THE TIME OF YOUR LIFE
you will also become broke because you will steal your moms credit card and buy all the vbucks in the world"
Remove switch players new or I’m leaving	Why who thought of this
Im amazed	Very good quality
SO ADDICTIVE	I would recommend this to anyone looking for one game.
It’s awesome	This is the best game ever made in the world if you are reading this than you have to play this game when I started it was the bomb I think it the best game ever
Why I like/Don’t like Helix jump	I gave it only four stars cause after I get a power up I can die.It seems like it should update and make it to where if you get a power up you should get a shield or something for like a few seconds
Ads	There are a lot of advertisements in this game which is very annoying but it is a fun game to play when you are trying to kill time.
Gun bucks	I love the Game but I just don’t like how you get a little bit of Money even if you have a High scoring Game and When you Lose they take 30Points Away from you we need more Money a Game
Best game ever	I started mid season seven but wanted to start at season one but I wasn’t aloud. I play on Xbox and phone and whenever there is a bug within 1 day it’s gone. Three words best storyline ever.
Trash	Would not recommend
Cheats you	Game glitches all the time and the creators don’t do anything to help you recover lost items. Customer support is terrible
Excellent	I love this game but there is 3 ads every 3 times you die.This is excellent for kids.
Update	Game needs an update. It’s fun and I love it but now that I’m on high levels it’s getting really glitchy... so glitchy that I can get through 80% of the slots then it glitches out and screws me up. Makes me not want to play the game but if you fix it I’ll continue! Hope no one else is having this problems
Annoying	"I payed to get rid of the ads because I enjoy the game.
However I’m sick of having to verify and except terms every time I open the app!😡"
Great! Account question	"May I ask is it Apple ID the only account we can use in this game?
Btw love this game played quite often a year ago."
Take in concentration	"I’ve played before on a friends phone it was really fun I played for a little then I tried to download it on my 5s I was disappointed when it said it wasn’t compatible but I was able to download it and deleted some stuff for it and found out it doesn’t work then I upgraded my phone to a 6 and I downloaded it first thing and I was so excited and then I seen the same message with my 6 and was disappointed also . Then I tried it with my Mac laptop and it was old and wasn’t able to be updated and I tried downloading it on it and it said nothing and it would not open and recently tried it again and found out it won’t work on my 0.11.02 I was close to being able to download it 

All I’m saying is can you make it available for older phones/laptops"
Playground kill count	It doesn’t let us we how many kills we have in playground
Review	I like the game but I have to keep deleting things on my phone every time there is a new update
Closes by itself	I really love this game but this app constantly closes almost every game I play and it’s very annoying I would love to know why it does this
Recent glitch 6•19•19	I love this app but... it started glitching like crazy and would move it itself and make me start over each time. When I would move it it would glitch and make me jump back and hit a color and say I had to start over! Please fix this!
Good but not good enough	I think it’s a good game but it is also not addictive or fun really and your not excited to play it
Decent game	Second chance didn’t work for me when I actually need it, but other than that it’s good
So much fun!!!! I love this game!!!! Make more games!!!!! I love it!!!!	Best game ever!!!
Ninja is a rapist and gay	Ninja tried to rape me in his stream by screaming and he is sexy
Best game ever	"Best game ever
It lets me play it’s my brothers thank you"
Love 💖	This is my fav game love you guys
Best game ever	I love this game so much been playing since season 4 and it will never get boring I wish all of you at epic the best and thank you for making this amazing game
Not suitable.	Look, I’ve always wanted to play fortnite with my friends, because that’s really the only game they play now a days. We used to play ROBLOX together, it was fun. But ever since fortnite came out, they wouldn’t play roblox anymore. I played with them once on my uncle’s PS4 and it was fun, but my uncle said that is the only time I can play with them. So, they always ask me “Do you wanna play fortnite today?”. I’m always saying I’m busy when I really just don’t have it. (Only my uncle) So, I told my mum and she said to download it on my phone. As I saw, it was on apple store! I was excited, but when it finished loading, it notified me that my IPhone 6S+ is not suitable. I guess it’s a fun game but I’ll never get to socialise with my friends online, or even play the game again. 😞😒😩😫😤😭😢😠😡
Cant play on iPhone very laggy and unfair	Its a really good game when playing on ps4 or any other devices but on iPhone 6plus you cant play as good and it is very laggy on iphones in my opinion i wish it would change so that everyone can play and it would be fair for everyone to play.
Grasias	El mejor juego......
Updates	The game is good itself. The problem is that it’s updates don’t let you update the game. The new update today about endgame won’t let me update. When I click update on the app and brings me to the App Store, it just says open and brings me back to the same screen to update. Please fix this bug
halp😂	so i’ve had this game for a bit and i was just past level 100, but now it won’t work. it stops at level 65 and i cant play at all or move anywhere it just stays on the loading screen and stops at 65. help? edit: i gave up and deleted and redone loaded the game in hopes that it would possibly save my data since i had game center logged in. it did not. i’m so pisseddd
Guns of boom	It’s very fun to play
Higher quality and frame work	That’s it better quality
Awesome game	I really enjoy play the game on fridays because I don’t have school. It is fun playing with friends and building things.but I loooooooove all of the dances!
Absolutely A Piece of Trash.	Absolutely the worst game I’ve ever played. Fortnite is a trash game.
Paper2	I love it
Not happy	Ever since the update it’s been crashing , everytime in the middle of the game . What’s up with that
Updates	Fortnite is an awesome game but for one thing it doesn’t update by itself. That would be amazing! When I play on mobile it just has to download every thing while I’m in the app! I just don’t understand why they don’t update and install while you’re offline!
It’s good	It’s potentially a good game but it is very laggy. Sometimes it’ll just freeze when I’m in a middle of a match which causes me to glitch out which is pretty annoying.
Love this game but...	I think this game needs to be able to play with friends only because I can’t play with my bff
Cool	Very awesome
Is good for me	For me there is no lag or freezing and I steam at the same time and it still doesn’t lag at all. (This was for me idk if your having problems with the app)
IT KICKS ME OUT WHEN STARTING A MATCH	Epic please fix this because the app kicks me out of the game multiple times
Addictive	I love this game and hope you make more of these types of games in the future also it’s very addicting
Crashed constantly	It used to be a fun alternative to playing this game on a console.  I can’t even play one full game without it crashing. Mobile app is trash now. Fix it!!!
Amazing you should totally get!	"This app is amazing and really fun to play ! I recommend and you can play whenever! This is really cool and I couldn’t find a reason to be rated lower than 4 stars. Although it is amazing, every time you refresh it, it will ask if you are fifteen or over, the age rating is terribly high and I know plenty of people under 7 playing this 
Thank you 😊"
An alright game	Fortnite is a very popular app so I decided to download it on mobile. The graphics are great but building is hard. Sometimes it lags or freezes.
Brick and ball	"It’s a fun game for my kids all though it takes their minds away from homework. But it’s keeps them 
going.I also think you guys who work should add levels. Thanks for this experience! From. Keri Longhorns+Marty Longhorns"
Love Fortnite but don’t really like the how to unblock	So about 2 months ago I got mad at my brother and blocked him from Fortnite and I can’t get him to be my friend again on Fortnite it won’t let me so I’m kinda upset about that but I still love Fortnite
Very Nice Game	I love playing fortnite mobile! it’s honestly amazing! the fact where you can play fortnite on the go is truly spectacular! but there is one small issue they need to fix. epic games if your reading this please fix the problem where whenever we get a notification the game freezes for like 2 seconds. that issues has costed me two wins. and also add stats to the game.
I heard a pop in my backyard...	I’m laying here in bed, on my boat, and the ring doorbell goes off.... so I closed the Fortnite app and heard a pop in my backyard but the doorbell faces the front yard... hey Bob can you go check my backyard...
Too many updates	There are too many updates happening at a time. Like I just updated mine yesterday, waited for it to load/authenticate, only to find that there was another update. AND THEY TAKE FOREVER. Is there any way you could fix this????
Communicate	Fortnite is not communicating well while the game is getting ruined this is one of the best games ever. Fortnite is not communicating and turning down the community which is ruining a perfect game
Hackers	There were hackers that made me get a score of 2,989, 11 away from 3,000!!! I am triggered!!!! These hackers are annoying. 😫🤬😡 GREAT GAME BTW.
Waste of time - and your life - UPDATE	"***Have you noticed the developers responses to complaints? “Of course the game is challenging” and that’s their response to almost every complaint! They have no problem stealing your money and attributing your losses to “challenges!” They have no issues of claiming you’ll find parts in dangerous zones but never tell you that you’ll never survive a dangerous zone and you’ll never get well equipped to survive unless you immediately leave... which gives you absolutely nothing. Pathetic!***

After getting to level 121 and not progressing in this game, I’ve decided to uninstall it. It’s a complete waste of time. 

This game will get you to a point where you’d think you’d advance to a “next” step. The developers then provide you the same old opportunities to “earn” weapons and special items. But, you won’t get any. 

All you’ll get is Beer, screws and wood. You’ll never get a weapon unless you go to a dangerous spot and, assuming you’ll survive, you never do, you get nothing! 

In other words, you can’t win. And the cycle continues... and you’ll waste your time, effort and life!"
Love it	I’ve played since season 4 and I love it
Gg	It is the most fun game I’ve ever experienced
Awesome game but A LOT of glitches	"Just think of bugs before you make stuff. If we’re working for epicgames I would try to make a weapon
What about a nurf gun of add a game mode for the zapatron.I miss the zapatron.Add back some pached/vaulted weapons back with doing a smaller amount of damage.If you see this note please make it true.
Also I get kicked out of the game at specific times. At any game mode except team rumble, it kicks me out of the game at 15 or 16 players left in the match. But for team rumble it kicks me out at either the 2nd storm eye of when my team or the other team reaches 1 between 100 kills. Please fix this bug. I’m getting frustrated. PPPLLLEEESZZEE!!!!!
Sry"
Fake reviews	All these reviews are fake… five year olds don’t use proper punctuation
This is stupid	I wanna play but it does not support my phone if I can’t support my phone why is is it in my App Store
Takes to long	I got to go to school and I ain’t got time to wait 2 hours I just wanna play fortnite
TRASH	My mic never works
Fortnite is awesome	Fortnite is the best mobile game there is I want to support the great game and say thank you Epic Games .
Please add this update	I tried to download it but I think I have the wrong device so please make it playable on all devices
Epic my account Quackkane I updated and it was gone	It’s fun but I updated and my account was gone
Very Fun	Guns of boom is a fast action, easy to play, smooth working, and greatly detailed first person shooter. 5 stars.
Love no doubt	But when will u possibly add save the world on mobile
Fortnite will not work for mobile the new update	When u try to update it won’t let u pls fix it I want to play fortnite
Help	Bruh I’m about to delete this game get this logging off thing out bc I’m tired of it
Plz add stats for mobile players	I have been playing for a while now its the only game i would spend money in but i wish i could see my stats
Great	It is great you can not.stop playing it
Great game	This is a great game, I love it.
Kinda have bugs for mobile	I like fortnite but on my device it take so long to load into the game that the game starts.
Exits me out of game and takes forever to load	Lately ever since the new update the games are full of lag and it always exits me out of the game before I land... It also takes forever to load into the game😕
Really good game	This game is so addictive and cool that they added marshmallow
This game rules	GO FORTNITE WOOOOOOOO YEEEEEEE HAWWWWWW I LIEK POO
Vbuckss to noobs	You should give vbucks to every single player each season of Fortnite because we get bullied and made fun of.Let gifting come
It’s my life	I love everything about it, and I’m an adult
Lagg	"Dear epic games

I am starting to think that fortnite isn’t the best game that it used to be. The lag is terrible and when I’m on high structures I lagg off the building and fall to my death........"
EPIC GAMES IS ASOME	EPIC IS ASOME FOR THINKING OF THIS GAME
gay baby game	game for gay babies
Awesome some game but too much updates	All most every month their is an update it’s filling up my storage   So I deleted fortnight but I’m downloading it again this is a very fun game and could you just give some free skins and also some Vbucks but for noobs witch have no skin and could you not bring that much updates please
Good but ads	You have to have ads it’s how they make money stop complaining the work is a cold place
G	"Best game ever
Ufufufufufufufjfufuffudfu"
Disponibilidad	Me gustaría saber cuando estes maravilloso juego estará disponible en el Apple TV.
Lost $1000	I was logging in to my Fortnite account and lost everything so I recommend to not buy any skins but the game is good
V-bucks	Hey the games great on mobile but how do you change to a different card to buy v-bucks?
Good but...	They seem to just keep on adding more and more to the game that is getting really boring. I mostly just play for 1v1s on creative mode because the actual game is just really boring now.
Best game ever.	This is the best game I have ever played in my life I think I want y’all to add it to where everybody can play without having to have the radio tower
Fix it	I love the game don’t get me wrong but they need to fix how they disabled the mic for mobile users 😢
Fort nite unfairness	That’s not fair that certain people have to play it y’all need to get it together before I sew
Brilliant and nothing can change that	I love fornight and nothing can change that at all because it’s a great game thank you to everyone who plays this game and who made this game
Pee Glitch - breaks gameplay	"I often get stuck needing to pee and cannot do ANYTHING - can’t open crates, fight zombies, run, pee button doesn’t respond at home or elsewhere... Searched the forums and the only workaround is to die!? 
I have real money in this game because I love to play it. If I am going to loose those earnings because I can’t run away or fight, it’s not worth it. This isn’t just a minor bug, this is causing me to loose resources and progress (nearly cleared an entire red zone and my body was gone when I returned causing me to lose good weapons). 
Fix it and I will update review and turn this 1-star to a 5."
Read this	Fortnite is a great game and I love the building aspect of it but PLEASE GET RID OF AUTO FIRE I cannot tell you how many times I’m going against someone who has never played before and the game shoots for them I hate it and it makes the game so much more boring when I die to people who are bad
Play this gam Fortnite Battle Royale	This game is so awesome I can play it every day play this game trust me if you are not good at the beginning don’t worry I was bad at the beginning and now I am good play this game and rate it a 5 star.New things come to Fortnite the block gets updated.New skins come out play this game I am telling you.You can create your own land on creative mode.Its free that’s the best part.
Why	Addictive
Crashes like crazy	So when Fortnite first came to mobile in 2018 I got it and played it it was great then but now it crashes a lot and lags epic needs to fix this I have the 6s and I want to keep playing it but it needs to be fixed.
Fort nite	Can u please make fortnite available to iPad minis 2 3 Please
